시행횟수,100번,1000번,10000번,100000번
14290번째수,,,,4.94
14291번째수,,,,5.7
14292번째수,,,,5.52
14293번째수,,,,2.15
14294번째수,,,,3.31
14295번째수,,,,3.95
14296번째수,,,,5.1
14297번째수,,,,5.45
14298번째수,,,,5.0
14299번째수,,,,1.01
14300번째수,,,,3.85
14301번째수,,,,3.56
14302번째수,,,,2.81
14303번째수,,,,4.26
14304번째수,,,,3.96
14305번째수,,,,2.07
14306번째수,,,,2.18
14307번째수,,,,1.95
14308번째수,,,,5.16
14309번째수,,,,2.62
14310번째수,,,,4.21
14311번째수,,,,1.12
14312번째수,,,,3.92
14313번째수,,,,3.54
14314번째수,,,,1.81
14315번째수,,,,1.09
14316번째수,,,,4.9
14317번째수,,,,3.94
14318번째수,,,,4.7
14319번째수,,,,1.56
14320번째수,,,,5.68
14321번째수,,,,4.67
14322번째수,,,,1.96
14323번째수,,,,2.74
14324번째수,,,,1.54
14325번째수,,,,5.39
14326번째수,,,,2.91
14327번째수,,,,5.48
14328번째수,,,,4.98
14329번째수,,,,5.78
14330번째수,,,,1.29
14331번째수,,,,3.8
14332번째수,,,,3.36
14333번째수,,,,5.05
14334번째수,,,,4.87
14335번째수,,,,3.41
14336번째수,,,,3.35
14337번째수,,,,5.79
14338번째수,,,,1.28
14339번째수,,,,5.68
14340번째수,,,,5.1
14341번째수,,,,3.35
14342번째수,,,,2.03
14343번째수,,,,1.35
14344번째수,,,,3.09
14345번째수,,,,5.17
14346번째수,,,,2.59
14347번째수,,,,1.07
14348번째수,,,,2.97
14349번째수,,,,5.91
14350번째수,,,,4.0
14351번째수,,,,2.93
14352번째수,,,,5.26
14353번째수,,,,1.82
14354번째수,,,,5.6
14355번째수,,,,5.86
14356번째수,,,,1.21
14357번째수,,,,5.57
14358번째수,,,,1.77
14359번째수,,,,2.13
14360번째수,,,,5.54
14361번째수,,,,5.69
14362번째수,,,,3.65
14363번째수,,,,3.76
14364번째수,,,,1.49
14365번째수,,,,5.55
14366번째수,,,,2.6
14367번째수,,,,5.2
14368번째수,,,,5.24
14369번째수,,,,1.55
14370번째수,,,,3.81
14371번째수,,,,3.96
14372번째수,,,,2.89
14373번째수,,,,2.94
14374번째수,,,,2.88
14375번째수,,,,4.58
14376번째수,,,,4.1
14377번째수,,,,3.64
14378번째수,,,,4.3
14379번째수,,,,2.49
14380번째수,,,,1.53
14381번째수,,,,2.78
14382번째수,,,,1.63
14383번째수,,,,5.08
14384번째수,,,,3.55
14385번째수,,,,1.14
14386번째수,,,,3.2
14387번째수,,,,5.42
14388번째수,,,,2.82
14389번째수,,,,1.02
14390번째수,,,,4.84
14391번째수,,,,4.61
14392번째수,,,,5.72
14393번째수,,,,1.03
14394번째수,,,,2.86
14395번째수,,,,5.44
14396번째수,,,,4.56
14397번째수,,,,3.99
14398번째수,,,,5.36
14399번째수,,,,3.79
14400번째수,,,,5.27
14401번째수,,,,1.32
14402번째수,,,,5.11
14403번째수,,,,2.95
14404번째수,,,,5.1
14405번째수,,,,4.77
14406번째수,,,,2.56
14407번째수,,,,1.56
14408번째수,,,,3.49
14409번째수,,,,2.44
14410번째수,,,,3.64
14411번째수,,,,4.72
14412번째수,,,,1.11
14413번째수,,,,1.3
14414번째수,,,,5.17
14415번째수,,,,5.48
14416번째수,,,,3.01
14417번째수,,,,3.91
14418번째수,,,,2.46
14419번째수,,,,1.41
14420번째수,,,,1.18
14421번째수,,,,3.4
14422번째수,,,,1.46
14423번째수,,,,4.13
14424번째수,,,,4.63
14425번째수,,,,1.8
14426번째수,,,,5.9
14427번째수,,,,2.03
14428번째수,,,,1.33
14429번째수,,,,3.44
14430번째수,,,,4.72
14431번째수,,,,5.15
14432번째수,,,,4.99
14433번째수,,,,1.99
14434번째수,,,,5.06
14435번째수,,,,3.99
14436번째수,,,,3.99
14437번째수,,,,4.41
14438번째수,,,,1.69
14439번째수,,,,4.37
14440번째수,,,,1.01
14441번째수,,,,2.99
14442번째수,,,,5.33
14443번째수,,,,4.13
14444번째수,,,,5.44
14445번째수,,,,5.98
14446번째수,,,,2.52
14447번째수,,,,5.95
14448번째수,,,,4.16
14449번째수,,,,2.91
14450번째수,,,,5.07
14451번째수,,,,5.35
14452번째수,,,,1.94
14453번째수,,,,4.06
14454번째수,,,,2.89
14455번째수,,,,4.02
14456번째수,,,,1.34
14457번째수,,,,4.34
14458번째수,,,,5.89
14459번째수,,,,3.31
14460번째수,,,,2.14
14461번째수,,,,1.58
14462번째수,,,,5.41
14463번째수,,,,3.7
14464번째수,,,,3.41
14465번째수,,,,1.34
14466번째수,,,,2.6
14467번째수,,,,1.48
14468번째수,,,,2.08
14469번째수,,,,3.73
14470번째수,,,,2.99
14471번째수,,,,5.8
14472번째수,,,,3.21
14473번째수,,,,3.38
14474번째수,,,,2.17
14475번째수,,,,3.79
14476번째수,,,,5.62
14477번째수,,,,3.16
14478번째수,,,,4.63
14479번째수,,,,5.11
14480번째수,,,,3.85
14481번째수,,,,4.8
14482번째수,,,,4.68
14483번째수,,,,4.19
14484번째수,,,,3.77
14485번째수,,,,2.31
14486번째수,,,,4.53
14487번째수,,,,4.8
14488번째수,,,,5.87
14489번째수,,,,3.62
14490번째수,,,,2.6
14491번째수,,,,5.8
14492번째수,,,,3.83
14493번째수,,,,2.56
14494번째수,,,,5.55
14495번째수,,,,3.92
14496번째수,,,,6.0
14497번째수,,,,4.08
14498번째수,,,,4.48
14499번째수,,,,1.96
14500번째수,,,,5.65
14501번째수,,,,1.1
14502번째수,,,,5.27
14503번째수,,,,5.19
14504번째수,,,,5.69
14505번째수,,,,2.62
14506번째수,,,,2.84
14507번째수,,,,3.4
14508번째수,,,,3.11
14509번째수,,,,3.2
14510번째수,,,,2.46
14511번째수,,,,4.72
14512번째수,,,,1.54
14513번째수,,,,4.11
14514번째수,,,,4.16
14515번째수,,,,2.89
14516번째수,,,,4.04
14517번째수,,,,1.81
14518번째수,,,,3.79
14519번째수,,,,5.89
14520번째수,,,,1.8
14521번째수,,,,2.2
14522번째수,,,,3.44
14523번째수,,,,3.3
14524번째수,,,,3.77
14525번째수,,,,1.1
14526번째수,,,,1.18
14527번째수,,,,2.39
14528번째수,,,,4.38
14529번째수,,,,3.92
14530번째수,,,,4.73
14531번째수,,,,5.79
14532번째수,,,,2.11
14533번째수,,,,3.93
14534번째수,,,,4.26
14535번째수,,,,5.7
14536번째수,,,,4.55
14537번째수,,,,3.54
14538번째수,,,,4.73
14539번째수,,,,3.04
14540번째수,,,,4.88
14541번째수,,,,3.69
14542번째수,,,,2.41
14543번째수,,,,2.48
14544번째수,,,,1.96
14545번째수,,,,2.33
14546번째수,,,,1.72
14547번째수,,,,5.25
14548번째수,,,,5.84
14549번째수,,,,3.92
14550번째수,,,,3.0
14551번째수,,,,5.16
14552번째수,,,,1.67
14553번째수,,,,4.31
14554번째수,,,,4.75
14555번째수,,,,3.81
14556번째수,,,,2.0
14557번째수,,,,4.37
14558번째수,,,,3.47
14559번째수,,,,3.2
14560번째수,,,,1.66
14561번째수,,,,5.49
14562번째수,,,,1.05
14563번째수,,,,2.11
14564번째수,,,,4.99
14565번째수,,,,1.88
14566번째수,,,,1.21
14567번째수,,,,2.08
14568번째수,,,,5.79
14569번째수,,,,5.61
14570번째수,,,,3.61
14571번째수,,,,3.07
14572번째수,,,,4.03
14573번째수,,,,5.07
14574번째수,,,,1.62
14575번째수,,,,3.4
14576번째수,,,,1.7
14577번째수,,,,3.94
14578번째수,,,,1.22
14579번째수,,,,1.99
14580번째수,,,,3.0
14581번째수,,,,5.17
14582번째수,,,,2.42
14583번째수,,,,5.6
14584번째수,,,,5.93
14585번째수,,,,1.16
14586번째수,,,,1.45
14587번째수,,,,4.78
14588번째수,,,,5.08
14589번째수,,,,4.85
14590번째수,,,,2.69
14591번째수,,,,3.72
14592번째수,,,,3.78
14593번째수,,,,1.73
14594번째수,,,,5.17
14595번째수,,,,3.62
14596번째수,,,,5.4
14597번째수,,,,5.98
14598번째수,,,,2.34
14599번째수,,,,5.81
14600번째수,,,,4.02
14601번째수,,,,3.42
14602번째수,,,,3.17
14603번째수,,,,2.46
14604번째수,,,,5.63
14605번째수,,,,4.13
14606번째수,,,,3.86
14607번째수,,,,2.24
14608번째수,,,,2.25
14609번째수,,,,1.01
14610번째수,,,,3.41
14611번째수,,,,3.73
14612번째수,,,,2.64
14613번째수,,,,1.6
14614번째수,,,,2.83
14615번째수,,,,4.72
14616번째수,,,,4.95
14617번째수,,,,3.07
14618번째수,,,,4.76
14619번째수,,,,2.84
14620번째수,,,,5.73
14621번째수,,,,1.3
14622번째수,,,,1.91
14623번째수,,,,3.2
14624번째수,,,,3.91
14625번째수,,,,3.53
14626번째수,,,,2.26
14627번째수,,,,3.54
14628번째수,,,,5.47
14629번째수,,,,2.22
14630번째수,,,,4.54
14631번째수,,,,5.03
14632번째수,,,,4.58
14633번째수,,,,5.68
14634번째수,,,,3.73
14635번째수,,,,3.29
14636번째수,,,,1.41
14637번째수,,,,2.0
14638번째수,,,,2.57
14639번째수,,,,1.66
14640번째수,,,,5.77
14641번째수,,,,3.83
14642번째수,,,,2.49
14643번째수,,,,5.24
14644번째수,,,,3.78
14645번째수,,,,5.83
14646번째수,,,,3.81
14647번째수,,,,2.05
14648번째수,,,,3.81
14649번째수,,,,2.1
14650번째수,,,,5.82
14651번째수,,,,3.84
14652번째수,,,,5.97
14653번째수,,,,3.59
14654번째수,,,,5.67
14655번째수,,,,1.3
14656번째수,,,,5.88
14657번째수,,,,2.38
14658번째수,,,,2.25
14659번째수,,,,4.97
14660번째수,,,,3.87
14661번째수,,,,5.91
14662번째수,,,,1.28
14663번째수,,,,2.48
14664번째수,,,,1.89
14665번째수,,,,4.54
14666번째수,,,,4.37
14667번째수,,,,3.19
14668번째수,,,,1.74
14669번째수,,,,1.56
14670번째수,,,,1.56
14671번째수,,,,5.6
14672번째수,,,,5.27
14673번째수,,,,1.83
14674번째수,,,,4.12
14675번째수,,,,4.21
14676번째수,,,,1.28
14677번째수,,,,2.76
14678번째수,,,,5.44
14679번째수,,,,4.93
14680번째수,,,,2.61
14681번째수,,,,2.03
14682번째수,,,,4.05
14683번째수,,,,3.36
14684번째수,,,,2.87
14685번째수,,,,3.65
14686번째수,,,,4.27
14687번째수,,,,3.08
14688번째수,,,,5.85
14689번째수,,,,3.38
14690번째수,,,,2.88
14691번째수,,,,2.01
14692번째수,,,,4.86
14693번째수,,,,1.08
14694번째수,,,,5.18
14695번째수,,,,5.16
14696번째수,,,,2.64
14697번째수,,,,1.62
14698번째수,,,,5.62
14699번째수,,,,5.42
14700번째수,,,,4.63
14701번째수,,,,2.11
14702번째수,,,,3.82
14703번째수,,,,4.9
14704번째수,,,,1.13
14705번째수,,,,2.35
14706번째수,,,,2.84
14707번째수,,,,5.54
14708번째수,,,,1.12
14709번째수,,,,5.09
14710번째수,,,,1.22
14711번째수,,,,2.27
14712번째수,,,,3.98
14713번째수,,,,1.67
14714번째수,,,,4.66
14715번째수,,,,1.57
14716번째수,,,,3.09
14717번째수,,,,3.65
14718번째수,,,,2.65
14719번째수,,,,3.06
14720번째수,,,,5.28
14721번째수,,,,2.15
14722번째수,,,,5.66
14723번째수,,,,4.67
14724번째수,,,,5.57
14725번째수,,,,2.72
14726번째수,,,,1.78
14727번째수,,,,2.4
14728번째수,,,,2.52
14729번째수,,,,1.32
14730번째수,,,,5.23
14731번째수,,,,2.37
14732번째수,,,,2.77
14733번째수,,,,3.9
14734번째수,,,,3.63
14735번째수,,,,1.35
14736번째수,,,,5.01
14737번째수,,,,5.3
14738번째수,,,,4.23
14739번째수,,,,5.01
14740번째수,,,,4.66
14741번째수,,,,1.7
14742번째수,,,,1.56
14743번째수,,,,5.73
14744번째수,,,,2.8
14745번째수,,,,4.82
14746번째수,,,,5.32
14747번째수,,,,1.66
14748번째수,,,,4.06
14749번째수,,,,3.49
14750번째수,,,,2.8
14751번째수,,,,4.65
14752번째수,,,,2.15
14753번째수,,,,3.89
14754번째수,,,,4.06
14755번째수,,,,3.25
14756번째수,,,,2.75
14757번째수,,,,2.66
14758번째수,,,,2.68
14759번째수,,,,3.83
14760번째수,,,,3.95
14761번째수,,,,4.73
14762번째수,,,,2.98
14763번째수,,,,5.49
14764번째수,,,,1.21
14765번째수,,,,1.06
14766번째수,,,,2.66
14767번째수,,,,3.65
14768번째수,,,,3.7
14769번째수,,,,4.75
14770번째수,,,,2.69
14771번째수,,,,1.71
14772번째수,,,,2.76
14773번째수,,,,1.12
14774번째수,,,,5.86
14775번째수,,,,4.16
14776번째수,,,,3.72
14777번째수,,,,3.2
14778번째수,,,,5.24
14779번째수,,,,3.5
14780번째수,,,,4.27
14781번째수,,,,1.17
14782번째수,,,,4.99
14783번째수,,,,2.35
14784번째수,,,,1.91
14785번째수,,,,1.77
14786번째수,,,,5.71
14787번째수,,,,2.32
14788번째수,,,,5.84
14789번째수,,,,3.09
14790번째수,,,,4.41
14791번째수,,,,4.59
14792번째수,,,,2.66
14793번째수,,,,4.81
14794번째수,,,,5.88
14795번째수,,,,4.39
14796번째수,,,,1.86
14797번째수,,,,4.68
14798번째수,,,,3.41
14799번째수,,,,3.33
14800번째수,,,,1.1
14801번째수,,,,3.58
14802번째수,,,,2.24
14803번째수,,,,3.95
14804번째수,,,,1.22
14805번째수,,,,5.23
14806번째수,,,,1.74
14807번째수,,,,1.38
14808번째수,,,,3.13
14809번째수,,,,3.24
14810번째수,,,,4.16
14811번째수,,,,4.31
14812번째수,,,,1.83
14813번째수,,,,1.06
14814번째수,,,,4.46
14815번째수,,,,1.06
14816번째수,,,,5.48
14817번째수,,,,2.81
14818번째수,,,,2.6
14819번째수,,,,3.73
14820번째수,,,,5.79
14821번째수,,,,5.09
14822번째수,,,,1.47
14823번째수,,,,3.14
14824번째수,,,,2.55
14825번째수,,,,2.75
14826번째수,,,,5.75
14827번째수,,,,1.49
14828번째수,,,,4.7
14829번째수,,,,4.06
14830번째수,,,,4.71
14831번째수,,,,5.22
14832번째수,,,,4.33
14833번째수,,,,2.46
14834번째수,,,,2.09
14835번째수,,,,1.9
14836번째수,,,,3.34
14837번째수,,,,5.78
14838번째수,,,,1.76
14839번째수,,,,2.35
14840번째수,,,,2.56
14841번째수,,,,1.31
14842번째수,,,,4.83
14843번째수,,,,4.57
14844번째수,,,,3.55
14845번째수,,,,4.45
14846번째수,,,,4.36
14847번째수,,,,2.55
14848번째수,,,,4.21
14849번째수,,,,2.04
14850번째수,,,,1.46
14851번째수,,,,1.68
14852번째수,,,,4.91
14853번째수,,,,4.07
14854번째수,,,,3.99
14855번째수,,,,4.35
14856번째수,,,,2.68
14857번째수,,,,1.48
14858번째수,,,,1.8
14859번째수,,,,1.68
14860번째수,,,,2.22
14861번째수,,,,1.07
14862번째수,,,,4.88
14863번째수,,,,2.27
14864번째수,,,,2.79
14865번째수,,,,1.33
14866번째수,,,,4.64
14867번째수,,,,2.08
14868번째수,,,,3.63
14869번째수,,,,5.65
14870번째수,,,,5.48
14871번째수,,,,1.21
14872번째수,,,,5.32
14873번째수,,,,1.36
14874번째수,,,,3.65
14875번째수,,,,1.74
14876번째수,,,,2.43
14877번째수,,,,2.26
14878번째수,,,,3.53
14879번째수,,,,1.54
14880번째수,,,,2.67
14881번째수,,,,1.86
14882번째수,,,,2.25
14883번째수,,,,5.24
14884번째수,,,,2.13
14885번째수,,,,4.04
14886번째수,,,,3.25
14887번째수,,,,1.1
14888번째수,,,,4.56
14889번째수,,,,4.38
14890번째수,,,,5.53
14891번째수,,,,2.76
14892번째수,,,,5.54
14893번째수,,,,5.52
14894번째수,,,,1.13
14895번째수,,,,2.53
14896번째수,,,,5.26
14897번째수,,,,2.49
14898번째수,,,,2.01
14899번째수,,,,2.61
14900번째수,,,,5.85
14901번째수,,,,2.51
14902번째수,,,,5.51
14903번째수,,,,4.79
14904번째수,,,,3.65
14905번째수,,,,5.68
14906번째수,,,,3.28
14907번째수,,,,2.72
14908번째수,,,,5.14
14909번째수,,,,1.52
14910번째수,,,,4.42
14911번째수,,,,3.25
14912번째수,,,,3.42
14913번째수,,,,5.9
14914번째수,,,,2.26
14915번째수,,,,3.74
14916번째수,,,,5.37
14917번째수,,,,3.44
14918번째수,,,,2.61
14919번째수,,,,5.08
14920번째수,,,,5.33
14921번째수,,,,1.58
14922번째수,,,,1.54
14923번째수,,,,4.46
14924번째수,,,,3.18
14925번째수,,,,1.54
14926번째수,,,,3.67
14927번째수,,,,2.41
14928번째수,,,,4.13
14929번째수,,,,4.58
14930번째수,,,,5.68
14931번째수,,,,3.35
14932번째수,,,,3.99
14933번째수,,,,4.6
14934번째수,,,,4.95
14935번째수,,,,1.49
14936번째수,,,,4.33
14937번째수,,,,4.21
14938번째수,,,,3.4
14939번째수,,,,2.05
14940번째수,,,,4.21
14941번째수,,,,2.48
14942번째수,,,,4.08
14943번째수,,,,1.35
14944번째수,,,,1.68
14945번째수,,,,2.22
14946번째수,,,,3.4
14947번째수,,,,3.59
14948번째수,,,,5.42
14949번째수,,,,4.92
14950번째수,,,,4.05
14951번째수,,,,3.37
14952번째수,,,,2.08
14953번째수,,,,3.3
14954번째수,,,,1.91
14955번째수,,,,5.35
14956번째수,,,,2.96
14957번째수,,,,4.27
14958번째수,,,,5.44
14959번째수,,,,5.71
14960번째수,,,,3.75
14961번째수,,,,1.51
14962번째수,,,,2.47
14963번째수,,,,2.5
14964번째수,,,,5.55
14965번째수,,,,1.27
14966번째수,,,,2.38
14967번째수,,,,2.59
14968번째수,,,,4.64
14969번째수,,,,3.76
14970번째수,,,,1.77
14971번째수,,,,2.11
14972번째수,,,,3.19
14973번째수,,,,2.51
14974번째수,,,,4.43
14975번째수,,,,5.81
14976번째수,,,,3.33
14977번째수,,,,2.11
14978번째수,,,,3.03
14979번째수,,,,5.51
14980번째수,,,,1.11
14981번째수,,,,4.69
14982번째수,,,,1.85
14983번째수,,,,1.6
14984번째수,,,,1.41
14985번째수,,,,5.43
14986번째수,,,,3.16
14987번째수,,,,4.36
14988번째수,,,,5.05
14989번째수,,,,1.03
14990번째수,,,,2.71
14991번째수,,,,1.48
14992번째수,,,,2.97
14993번째수,,,,1.72
14994번째수,,,,4.46
14995번째수,,,,1.51
14996번째수,,,,2.27
14997번째수,,,,5.61
14998번째수,,,,4.31
14999번째수,,,,5.63
15000번째수,,,,4.09
15001번째수,,,,1.42
15002번째수,,,,4.78
15003번째수,,,,5.49
15004번째수,,,,4.47
15005번째수,,,,4.32
15006번째수,,,,3.62
15007번째수,,,,4.87
15008번째수,,,,4.33
15009번째수,,,,3.09
15010번째수,,,,1.53
15011번째수,,,,3.95
15012번째수,,,,5.41
15013번째수,,,,5.16
15014번째수,,,,2.31
15015번째수,,,,5.89
15016번째수,,,,2.97
15017번째수,,,,1.99
15018번째수,,,,1.86
15019번째수,,,,1.88
15020번째수,,,,3.84
15021번째수,,,,3.45
15022번째수,,,,5.07
15023번째수,,,,1.42
15024번째수,,,,3.48
15025번째수,,,,5.87
15026번째수,,,,5.82
15027번째수,,,,1.94
15028번째수,,,,5.53
15029번째수,,,,1.85
15030번째수,,,,1.78
15031번째수,,,,3.76
15032번째수,,,,6.0
15033번째수,,,,1.27
15034번째수,,,,1.71
15035번째수,,,,2.55
15036번째수,,,,4.01
15037번째수,,,,3.34
15038번째수,,,,1.59
15039번째수,,,,1.26
15040번째수,,,,5.99
15041번째수,,,,1.46
15042번째수,,,,4.62
15043번째수,,,,1.15
15044번째수,,,,3.82
15045번째수,,,,2.79
15046번째수,,,,1.13
15047번째수,,,,3.96
15048번째수,,,,5.59
15049번째수,,,,3.24
15050번째수,,,,4.49
15051번째수,,,,1.61
15052번째수,,,,3.74
15053번째수,,,,4.86
15054번째수,,,,4.41
15055번째수,,,,2.84
15056번째수,,,,4.02
15057번째수,,,,3.0
15058번째수,,,,5.63
15059번째수,,,,2.23
15060번째수,,,,4.81
15061번째수,,,,1.83
15062번째수,,,,1.78
15063번째수,,,,5.02
15064번째수,,,,3.38
15065번째수,,,,1.11
15066번째수,,,,3.54
15067번째수,,,,4.6
15068번째수,,,,5.46
15069번째수,,,,3.07
15070번째수,,,,2.57
15071번째수,,,,5.75
15072번째수,,,,5.78
15073번째수,,,,2.51
15074번째수,,,,1.56
15075번째수,,,,3.37
15076번째수,,,,4.82
15077번째수,,,,3.37
15078번째수,,,,5.31
15079번째수,,,,3.87
15080번째수,,,,5.98
15081번째수,,,,5.25
15082번째수,,,,2.81
15083번째수,,,,2.35
15084번째수,,,,1.67
15085번째수,,,,1.72
15086번째수,,,,4.06
15087번째수,,,,4.3
15088번째수,,,,2.53
15089번째수,,,,3.96
15090번째수,,,,5.65
15091번째수,,,,5.71
15092번째수,,,,4.92
15093번째수,,,,4.02
15094번째수,,,,4.59
15095번째수,,,,1.25
15096번째수,,,,5.06
15097번째수,,,,5.97
15098번째수,,,,4.16
15099번째수,,,,4.15
15100번째수,,,,3.48
15101번째수,,,,5.88
15102번째수,,,,4.97
15103번째수,,,,2.92
15104번째수,,,,5.86
15105번째수,,,,4.3
15106번째수,,,,2.17
15107번째수,,,,5.35
15108번째수,,,,3.79
15109번째수,,,,2.25
15110번째수,,,,1.5
15111번째수,,,,3.42
15112번째수,,,,1.19
15113번째수,,,,3.09
15114번째수,,,,1.4
15115번째수,,,,2.47
15116번째수,,,,4.36
15117번째수,,,,2.22
15118번째수,,,,1.2
15119번째수,,,,4.72
15120번째수,,,,4.89
15121번째수,,,,5.66
15122번째수,,,,4.69
15123번째수,,,,4.51
15124번째수,,,,3.82
15125번째수,,,,1.94
15126번째수,,,,3.61
15127번째수,,,,4.99
15128번째수,,,,4.1
15129번째수,,,,5.52
15130번째수,,,,1.74
15131번째수,,,,1.26
15132번째수,,,,1.36
15133번째수,,,,4.02
15134번째수,,,,4.0
15135번째수,,,,2.58
15136번째수,,,,4.83
15137번째수,,,,3.41
15138번째수,,,,1.87
15139번째수,,,,4.72
15140번째수,,,,3.36
15141번째수,,,,2.02
15142번째수,,,,5.76
15143번째수,,,,1.19
15144번째수,,,,5.48
15145번째수,,,,1.75
15146번째수,,,,2.49
15147번째수,,,,4.96
15148번째수,,,,1.01
15149번째수,,,,4.65
15150번째수,,,,5.46
15151번째수,,,,3.54
15152번째수,,,,1.8
15153번째수,,,,1.74
15154번째수,,,,2.36
15155번째수,,,,1.42
15156번째수,,,,1.35
15157번째수,,,,4.13
15158번째수,,,,4.29
15159번째수,,,,5.52
15160번째수,,,,1.19
15161번째수,,,,3.48
15162번째수,,,,1.46
15163번째수,,,,1.01
15164번째수,,,,3.38
15165번째수,,,,5.32
15166번째수,,,,2.87
15167번째수,,,,4.12
15168번째수,,,,1.34
15169번째수,,,,3.44
15170번째수,,,,4.57
15171번째수,,,,4.54
15172번째수,,,,3.99
15173번째수,,,,1.69
15174번째수,,,,5.25
15175번째수,,,,5.67
15176번째수,,,,2.53
15177번째수,,,,3.78
15178번째수,,,,2.65
15179번째수,,,,5.93
15180번째수,,,,4.16
15181번째수,,,,4.7
15182번째수,,,,3.09
15183번째수,,,,1.12
15184번째수,,,,4.11
15185번째수,,,,2.29
15186번째수,,,,3.01
15187번째수,,,,2.58
15188번째수,,,,4.84
15189번째수,,,,4.51
15190번째수,,,,3.64
15191번째수,,,,4.32
15192번째수,,,,2.15
15193번째수,,,,5.12
15194번째수,,,,3.41
15195번째수,,,,3.21
15196번째수,,,,2.79
15197번째수,,,,5.22
15198번째수,,,,3.5
15199번째수,,,,1.11
15200번째수,,,,2.93
15201번째수,,,,2.28
15202번째수,,,,2.23
15203번째수,,,,4.59
15204번째수,,,,5.18
15205번째수,,,,3.66
15206번째수,,,,1.16
15207번째수,,,,4.2
15208번째수,,,,1.64
15209번째수,,,,5.47
15210번째수,,,,5.25
15211번째수,,,,5.85
15212번째수,,,,5.57
15213번째수,,,,2.89
15214번째수,,,,4.71
15215번째수,,,,4.37
15216번째수,,,,5.72
15217번째수,,,,4.01
15218번째수,,,,4.76
15219번째수,,,,5.75
15220번째수,,,,3.61
15221번째수,,,,5.86
15222번째수,,,,1.52
15223번째수,,,,1.05
15224번째수,,,,5.17
15225번째수,,,,3.72
15226번째수,,,,3.82
15227번째수,,,,5.8
15228번째수,,,,4.83
15229번째수,,,,1.65
15230번째수,,,,1.12
15231번째수,,,,2.15
15232번째수,,,,3.34
15233번째수,,,,3.95
15234번째수,,,,3.66
15235번째수,,,,2.6
15236번째수,,,,3.34
15237번째수,,,,1.96
15238번째수,,,,5.36
15239번째수,,,,3.77
15240번째수,,,,1.02
15241번째수,,,,5.76
15242번째수,,,,4.45
15243번째수,,,,2.91
15244번째수,,,,3.89
15245번째수,,,,5.99
15246번째수,,,,5.84
15247번째수,,,,1.69
15248번째수,,,,5.87
15249번째수,,,,1.35
15250번째수,,,,5.8
15251번째수,,,,4.68
15252번째수,,,,5.47
15253번째수,,,,4.47
15254번째수,,,,1.23
15255번째수,,,,1.73
15256번째수,,,,2.87
15257번째수,,,,1.85
15258번째수,,,,2.77
15259번째수,,,,1.21
15260번째수,,,,5.61
15261번째수,,,,1.57
15262번째수,,,,1.21
15263번째수,,,,3.12
15264번째수,,,,3.66
15265번째수,,,,3.85
15266번째수,,,,1.05
15267번째수,,,,3.11
15268번째수,,,,4.96
15269번째수,,,,4.73
15270번째수,,,,3.03
15271번째수,,,,5.17
15272번째수,,,,4.96
15273번째수,,,,5.98
15274번째수,,,,4.23
15275번째수,,,,1.98
15276번째수,,,,3.66
15277번째수,,,,5.05
15278번째수,,,,2.15
15279번째수,,,,3.66
15280번째수,,,,3.46
15281번째수,,,,3.72
15282번째수,,,,1.1
15283번째수,,,,2.13
15284번째수,,,,4.7
15285번째수,,,,3.77
15286번째수,,,,2.47
15287번째수,,,,5.35
15288번째수,,,,5.92
15289번째수,,,,5.8
15290번째수,,,,3.72
15291번째수,,,,2.23
15292번째수,,,,4.57
15293번째수,,,,5.35
15294번째수,,,,2.87
15295번째수,,,,1.14
15296번째수,,,,1.83
15297번째수,,,,2.48
15298번째수,,,,3.88
15299번째수,,,,4.74
15300번째수,,,,3.91
15301번째수,,,,2.75
15302번째수,,,,5.49
15303번째수,,,,5.64
15304번째수,,,,4.35
15305번째수,,,,4.56
15306번째수,,,,2.9
15307번째수,,,,5.88
15308번째수,,,,5.57
15309번째수,,,,2.65
15310번째수,,,,5.11
15311번째수,,,,3.95
15312번째수,,,,1.48
15313번째수,,,,1.34
15314번째수,,,,4.49
15315번째수,,,,2.25
15316번째수,,,,3.5
15317번째수,,,,3.68
15318번째수,,,,2.86
15319번째수,,,,1.19
15320번째수,,,,4.39
15321번째수,,,,2.03
15322번째수,,,,4.21
15323번째수,,,,5.6
15324번째수,,,,4.52
15325번째수,,,,4.88
15326번째수,,,,5.86
15327번째수,,,,5.07
15328번째수,,,,5.13
15329번째수,,,,1.14
15330번째수,,,,4.73
15331번째수,,,,5.49
15332번째수,,,,5.26
15333번째수,,,,4.03
15334번째수,,,,4.6
15335번째수,,,,1.07
15336번째수,,,,5.42
15337번째수,,,,2.78
15338번째수,,,,1.81
15339번째수,,,,5.63
15340번째수,,,,1.64
15341번째수,,,,1.29
15342번째수,,,,5.57
15343번째수,,,,1.68
15344번째수,,,,1.95
15345번째수,,,,4.85
15346번째수,,,,3.91
15347번째수,,,,5.96
15348번째수,,,,5.52
15349번째수,,,,3.96
15350번째수,,,,3.47
15351번째수,,,,2.31
15352번째수,,,,5.29
15353번째수,,,,3.28
15354번째수,,,,3.67
15355번째수,,,,3.24
15356번째수,,,,3.89
15357번째수,,,,3.3
15358번째수,,,,4.08
15359번째수,,,,5.93
15360번째수,,,,1.96
15361번째수,,,,5.71
15362번째수,,,,5.08
15363번째수,,,,3.61
15364번째수,,,,3.74
